Team,Rating
Duke,39.29
Houston,36.59
Florida,36.46
Auburn,35.05
Tennessee,30.93
Alabama,30.34
Michigan State,28.48
Gonzaga,28.01
Texas Tech,27.92
Maryland,27.07
Iowa State,26.65
Wisconsin,26.57
Arizona,26.35
St. Johns,26.06
Purdue,25.36
Illinois,24.54
Kentucky,24.32
Texas A&M,23.66
Missouri,23.57
UCLA,23.46
Michigan,23.45
Mississippi,23.34
Clemson,23.22
Kansas,22.94
Saint Marys,22.73
Brigham Young University,22.31
Oregon,21.85
Louisville,21.73
Marquette,21.01
Baylor,20.83
North Carolina,20.33
UConn,20.18
Mississippi State,20.02
Virginia Commonwealth University,19.53
Creighton,19.44
Arkansas,19.33
Ohio State,19.08
Georgia,18.57
UC San Diego,18.25
Oklahoma,17.95
New Mexico,17.78
Colorado State,17.61
Xavier,17.19
Northwestern,17.02
Indiana,16.98
Nebraska,16.98
Texas,16.9
Vanderbilt,16.23
Boise State,16.04
SMU,15.42
San Diego State,15.13
Drake,15.12
West Virginia,15.11
Memphis,15.1
Cincinatti,14.86
Villanova,14.74
University of Southern California,14.39
Penn State,14.36
Santa Clara,14.34
McNeese State,14.24
Utah State,14.0
Iowa,13.56
Pittsburgh,13.5
Liberty,12.46
Kansas State,12.17
San Francisco,12.15
University of Central Florida,11.95
UC Irvine,11.75
South Carolina,11.51
Rutgers,11.5
North Texas,11.3
Wake Forest,11.18
Arizona State,11.03
Yale,11.02
Butler,10.54
Utah,10.5
Dayton,9.98
Nevada,9.76
George Mason,9.46
Oregon State,9.37
Stanford,9.26
High Point,9.15
Minnesota,9.15
Arkansas State,9.13
Saint Josephs,9.07
Texas Christian,8.82
Colorado,8.73
LSU,8.72
Lipscomb,8.55
Georgetown,8.49
Florida State,8.2
Bradley,7.89
UNLV,7.21
Chattanooga,7.14
Troy,6.95
Providence,6.93
Oklahoma State,6.91
Notre Dame,6.9
UAB,6.7
Akron,6.47
Grand Canyon,6.29
Northern Iowa,6.09
Georgia Tech,5.87
Washington,5.79
UNC Wilmington,5.28
Virginia,5.02
Loyola Chicago,4.94
Jacksonville State,4.92
South Alabama,4.49
California,4.43
Kent State,4.3
Utah Valley,4.25
North Alabama,4.24
Wofford,4.24
Syracuse,4.22
Florida Atlantic,4.13
California State,4.09
Samford,4.03
Middle Tennessee,3.98
Washington State,3.86
Saint Louis,3.85
DePaul,3.83
Saint Bonaventure,3.82
Belmont,3.64
North Carolina State,3.63
Northern Colorado,3.63
Louisiana Tech,3.53
George Washington,3.39
Cornell,3.37
Saint Thomas,3.28
Kennesaw State,3.02
Illinois State,2.92
Robert Morris,2.9
New Mexico State,2.82
North Dakota State,2.62
Wichita State,2.51
South Dakota State,2.5
Murray State,2.27
Furman,2.26
Duquesne,2.16
Milwaukee,2.11
East Tennessee State,1.89
UNC Greensboro,1.84
Tulane,1.42
Seattle,1.37
Miami (Ohio),1.09
Davidson,1.08
UC Santa Barbara,1.07
Bryant,0.92
Texas A&M Corpus Christi,0.81
Radford,0.62
Towson,0.58
Charleston,0.48
Cleveland State,0.45
Loyola Marymount,0.39
Purdue Fort Wayne,0.37
Rhode Island,0.35
